0,instanceID,starttime,10491501334.640276
0,instanceID,starttime,10491501334.651218
0,instanceID,starttime,10491744248.440636
0,instanceID,starttime,10491744248.478939
0,instanceID,starttime,10491744248.492174
0,instanceID,starttime,10491744248.500044
0,instanceID,starttime,10491744248.511696
0,instanceID,starttime,10491744248.532221
0,instanceID,starttime,10491744248.548971
0,instanceID,starttime,10491744248.565475
0,instanceID,starttime,10491744248.575731
0,instanceID,starttime,10491744248.586580
0,instanceID,starttime,10624580008.807400
0,instanceID,starttime,10624580008.873188
0,instanceID,starttime,10624580008.892704
0,instanceID,starttime,10624580008.903711
0,instanceID,starttime,10624580008.918480
0,instanceID,starttime,10624580008.933290
0,instanceID,starttime,10624580008.949089
0,instanceID,starttime,10624580008.961451
0,instanceID,starttime,10624580008.970928
0,instanceID,starttime,10624580008.980394
0,instanceID,starttime,10624632493.139791
0,instanceID,starttime,10624632493.185951
0,instanceID,starttime,10624632493.203705
0,instanceID,starttime,10624632493.215872
0,instanceID,starttime,10624632493.232271
0,instanceID,starttime,10624632493.248943
0,instanceID,starttime,10624632493.268801
0,instanceID,starttime,10624632493.290512
0,instanceID,starttime,10624632493.301460
0,instanceID,starttime,10624632493.312405
0,instanceID,starttime,10624673271.210190
0,instanceID,starttime,10624673271.254042
0,instanceID,starttime,10624673271.273027
0,instanceID,starttime,10624673271.285933
0,instanceID,starttime,10624673271.303072
0,instanceID,starttime,10624673271.319731
0,instanceID,starttime,10624673271.342091
0,instanceID,starttime,10624673271.358547
0,instanceID,starttime,10624673271.370564
0,instanceID,starttime,10624673271.382280
0,instanceID,starttime,10624685233.636053
0,instanceID,starttime,10624685233.762617
0,instanceID,starttime,10624685233.865412
0,instanceID,starttime,10624685233.918924
0,instanceID,starttime,10624685233.981047
0,instanceID,starttime,10624685234.000843
0,instanceID,starttime,10624685234.018816
0,instanceID,starttime,10624685234.067356
0,instanceID,starttime,10624685234.113836
0,instanceID,starttime,10624685234.170925
0,instanceID,starttime,10626070932.363628
0,instanceID,starttime,10626070932.416012
0,instanceID,starttime,10626070932.434568
0,instanceID,starttime,10626070932.445959
0,instanceID,starttime,10626070932.461184
0,instanceID,starttime,10626070932.476160
0,instanceID,starttime,10626070932.544088
0,instanceID,starttime,10626070932.562721
0,instanceID,starttime,10626070932.572811
0,instanceID,starttime,10626070932.582842
0,instanceID,starttime,10627343182.424006
0,instanceID,starttime,10627343182.604374
0,instanceID,starttime,10627343182.664188
0,instanceID,starttime,10627343182.706944
0,instanceID,starttime,10627343182.825005
0,instanceID,starttime,10627343182.920490
0,instanceID,starttime,10627343183.011944
0,instanceID,starttime,10627343183.098267
0,instanceID,starttime,10627343183.141817
0,instanceID,starttime,10627343183.181988
0,instanceID,starttime,10627524534.180887
0,instanceID,starttime,10627524534.237316
0,instanceID,starttime,10627524534.256546
0,instanceID,starttime,10627524534.269428
0,instanceID,starttime,10627524534.284128
0,instanceID,starttime,10627524534.298843
0,instanceID,starttime,10627524534.321604
0,instanceID,starttime,10627524534.335440
0,instanceID,starttime,10627524534.345194
0,instanceID,starttime,10627524534.355108
0,instanceID,starttime,10627560597.864176
0,instanceID,starttime,10627560597.911270
0,instanceID,starttime,10627560597.929596
0,instanceID,starttime,10627560597.942352
0,instanceID,starttime,10627560597.959900
0,instanceID,starttime,10627560597.984873
0,instanceID,starttime,10627560598.004072
0,instanceID,starttime,10627560598.021706
0,instanceID,starttime,10627560598.033552
0,instanceID,starttime,10627560598.045626
0,instanceID,starttime,10627669077.593863
0,instanceID,starttime,10627669077.762959
0,instanceID,starttime,10627669077.873596
0,instanceID,starttime,10627669077.969704
0,instanceID,starttime,10627669078.057224
0,instanceID,starttime,10627669078.133141
0,instanceID,starttime,10627669078.232700
0,instanceID,starttime,10627669078.308020
0,instanceID,starttime,10627669078.400068
0,instanceID,starttime,10627669078.476549
0,instanceID,starttime,10627751491.260216
0,instanceID,starttime,10627751491.303020
0,instanceID,starttime,10627751491.320353
0,instanceID,starttime,10627751491.332176
0,instanceID,starttime,10627751491.348473
0,instanceID,starttime,10627751491.366386
0,instanceID,starttime,10627751491.386757
0,instanceID,starttime,10627751491.403065
0,instanceID,starttime,10627751491.415035
0,instanceID,starttime,10627751491.426382
0,instanceID,starttime,10627792766.036421
0,instanceID,starttime,10627792766.078695
0,instanceID,starttime,10627792766.092585
0,instanceID,starttime,10627792766.101770
0,instanceID,starttime,10627792766.116943
0,instanceID,starttime,10627792766.132128
0,instanceID,starttime,10627792766.152040
0,instanceID,starttime,10627792766.168322
0,instanceID,starttime,10627792766.179296
0,instanceID,starttime,10627792766.190384
0,instanceID,starttime,10627827834.154375
0,instanceID,starttime,10627827834.204256
0,instanceID,starttime,10627827834.223509
0,instanceID,starttime,10627827834.237062
0,instanceID,starttime,10627827834.254831
0,instanceID,starttime,10627827834.282503
0,instanceID,starttime,10627827834.302977
0,instanceID,starttime,10627827834.319065
0,instanceID,starttime,10627827834.329931
0,instanceID,starttime,10627827834.342136
0,instanceID,starttime,10627905172.627838
0,instanceID,starttime,10627905172.691357
0,instanceID,starttime,10627905172.721821
0,instanceID,starttime,10627905172.737606
0,instanceID,starttime,10627905172.760368
0,instanceID,starttime,10627905172.779926
0,instanceID,starttime,10627905172.800924
0,instanceID,starttime,10627905172.817400
0,instanceID,starttime,10627905172.830755
0,instanceID,starttime,10627905172.844902
0,instanceID,starttime,10627958952.710670
0,instanceID,starttime,10627958952.747076
0,instanceID,starttime,10627958952.767904
0,instanceID,starttime,10627958952.781700
0,instanceID,starttime,10627958952.830509
0,instanceID,starttime,10627958952.872784
0,instanceID,starttime,10627958952.895975
0,instanceID,starttime,10627958952.913893
0,instanceID,starttime,10627958952.925148
0,instanceID,starttime,10627958952.976740
0,instanceID,starttime,10628165601.293276
0,instanceID,starttime,10628165601.387552
0,instanceID,starttime,10628165601.444653
0,instanceID,starttime,10628165601.457216
0,instanceID,starttime,10628165601.469597
0,instanceID,starttime,10628165601.501499
0,instanceID,starttime,10628165601.524712
0,instanceID,starttime,10628165601.540691
0,instanceID,starttime,10628165601.554924
0,instanceID,starttime,10628165601.566601
0,instanceID,starttime,13159865425.164885
0,instanceID,starttime,13159865425.204264
0,instanceID,starttime,13159865425.223473
0,instanceID,starttime,13159865425.241388
0,instanceID,starttime,13159865425.258926
0,instanceID,starttime,13159865425.277256
0,instanceID,starttime,13159865425.296783
0,instanceID,starttime,13159865425.311317
0,instanceID,starttime,13159865425.320940
0,instanceID,starttime,13159865425.331997
0,instanceID,starttime,13162633966.617140
0,instanceID,starttime,13162633966.656052
0,instanceID,starttime,13162633966.678560
0,instanceID,starttime,13162633966.698219
0,instanceID,starttime,13162633966.717899
0,instanceID,starttime,13162633966.737841
0,instanceID,starttime,13162633966.760376
0,instanceID,starttime,13162633966.778337
0,instanceID,starttime,13162633966.792715
0,instanceID,starttime,13162633966.806328
0,instanceID,starttime,13162645788.703800
0,instanceID,starttime,13162645788.748760
0,instanceID,starttime,13162645788.769928
0,instanceID,starttime,13162645788.780928
0,instanceID,starttime,13162645788.794647
0,instanceID,starttime,13162645788.809635
0,instanceID,starttime,13162645788.829231
0,instanceID,starttime,13162645788.843157
0,instanceID,starttime,13162645788.854362
0,instanceID,starttime,13162645788.864784
0,instanceID,starttime,13165395006.287872
0,instanceID,starttime,13165395006.329399
0,instanceID,starttime,13165395006.346985
0,instanceID,starttime,13165395006.358130
0,instanceID,starttime,13165395006.375166
0,instanceID,starttime,13165395006.391441
0,instanceID,starttime,13165395006.407713
0,instanceID,starttime,13165395006.421328
0,instanceID,starttime,13165395006.430550
0,instanceID,starttime,13165395006.439995
0,instanceID,starttime,13320230232.902504
0,instanceID,starttime,13320230232.954096
0,instanceID,starttime,13320230232.973024
0,instanceID,starttime,13320230232.983704
0,instanceID,starttime,13320230232.998789
0,instanceID,starttime,13320230233.013777
0,instanceID,starttime,13320230233.030912
0,instanceID,starttime,13320230233.044847
0,instanceID,starttime,13320230233.054306
0,instanceID,starttime,13320230233.064173
0,instanceID,starttime,13320430697.553991
0,instanceID,starttime,13320430697.611292
0,instanceID,starttime,13320430697.630440
0,instanceID,starttime,13320430697.641756
0,instanceID,starttime,13320430697.657608
0,instanceID,starttime,13320430697.673872
0,instanceID,starttime,13320430697.690992
0,instanceID,starttime,13320430697.705437
0,instanceID,starttime,13320430697.715008
0,instanceID,starttime,13320430697.724680
0,instanceID,starttime,13320569345.040800
0,instanceID,starttime,13320569345.092390
0,instanceID,starttime,13320569345.119761
0,instanceID,starttime,13320569345.131117
0,instanceID,starttime,13320569345.146315
0,instanceID,starttime,13320569345.160295
0,instanceID,starttime,13320569345.179441
0,instanceID,starttime,13320569345.191795
0,instanceID,starttime,13320569345.200792
0,instanceID,starttime,13320569345.210011
0,instanceID,starttime,13321050109.332933
0,instanceID,starttime,13321050109.368216
0,instanceID,starttime,13321050109.381346
0,instanceID,starttime,13321050109.388939
0,instanceID,starttime,13321050109.401855
